"DateTime","NIFTY 50"
"1998-11-28 00:00:00",810.85
"1998-11-30 00:00:00",817.75
"1998-12-01 00:00:00",816.65
"1998-12-02 00:00:00",821.15
"1998-12-03 00:00:00",817.05
"1998-12-04 00:00:00",828.35
"1998-12-07 00:00:00",845.15
"1998-12-08 00:00:00",853
"1998-12-09 00:00:00",856.55
"1998-12-10 00:00:00",864.4
"1998-12-11 00:00:00",870
"1998-12-14 00:00:00",863.6
"1998-12-15 00:00:00",845.05
"1998-12-16 00:00:00",851.55
"1998-12-17 00:00:00",830.25
"1998-12-18 00:00:00",835.2
"1998-12-21 00:00:00",859.3
"1998-12-22 00:00:00",857.3
"1998-12-23 00:00:00",858.7
"1998-12-24 00:00:00",861.1
"1998-12-28 00:00:00",879.85
"1998-12-29 00:00:00",872.65
"1998-12-30 00:00:00",899.95
"1998-12-31 00:00:00",884.25
"1999-01-01 00:00:00",890.8
"1999-01-04 00:00:00",897.8
"1999-01-05 00:00:00",907.2
"1999-01-06 00:00:00",928.25
"1999-01-07 00:00:00",954.7
"1999-01-08 00:00:00",990.05
"1999-01-11 00:00:00",985.6
"1999-01-12 00:00:00",964.45
"1999-01-13 00:00:00",961.2
"1999-01-14 00:00:00",954.75
"1999-01-15 00:00:00",934.3
"1999-01-18 00:00:00",944.9
"1999-01-19 00:00:00",924.1
"1999-01-21 00:00:00",967.2
"1999-01-22 00:00:00",957.05
"1999-01-25 00:00:00",949.8
"1999-01-27 00:00:00",971.3
"1999-01-28 00:00:00",955.1
"1999-01-29 00:00:00",966.2
"1999-02-01 00:00:00",940.15
"1999-02-02 00:00:00",931.2
"1999-02-03 00:00:00",952.4
"1999-02-04 00:00:00",939.7
"1999-02-05 00:00:00",936.3
"1999-02-08 00:00:00",916.5
"1999-02-09 00:00:00",924.75
"1999-02-10 00:00:00",959.45
"1999-02-11 00:00:00",960.05
"1999-02-12 00:00:00",970.25
"1999-02-15 00:00:00",954.55
"1999-02-16 00:00:00",958.9
"1999-02-17 00:00:00",969.05
"1999-02-18 00:00:00",973.45
"1999-02-19 00:00:00",976.3
"1999-02-22 00:00:00",953.85
"1999-02-23 00:00:00",949.65
"1999-02-24 00:00:00",957.65
"1999-02-25 00:00:00",954.3
"1999-02-26 00:00:00",941.2
"1999-02-27 00:00:00",981.3
"1999-03-01 00:00:00",1015.8
"1999-03-03 00:00:00",1051.85
"1999-03-04 00:00:00",1041.2
